종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
포메탈 *,4815.0,-6.14%,788746.0,4008.0,1069223.0,119500,https://kr.tradingview.com/symbols/KRX-119500/,570억,2026.02.02,1,53238
탑런토탈솔루션 *,4220.0,-6.33%,194157.0,847.0,204712.0,336680,https://kr.tradingview.com/symbols/KRX-336680/,"1,652억",2026.02.02,0,-24334
씨티알모빌리티,6530.0,-6.71%,61284.0,410.0,173413.0,308170,https://kr.tradingview.com/symbols/KRX-308170/,562억,2026.02.02,-148,1432
인탑스 *,20500.0,-7.03%,262786.0,5521.0,229691.0,049070,https://kr.tradingview.com/symbols/KRX-049070/,"3,526억",2026.02.02,1256,50986
한라캐스트 *,22300.0,-7.08%,5592659.0,131540.0,17048085.0,125490,https://kr.tradingview.com/symbols/KRX-125490/,"8,140억",2026.02.02,-44331,-22197
DYP,5760.0,-7.40%,344719.0,2010.0,318324.0,092780,https://kr.tradingview.com/symbols/KRX-092780/,758억,2026.02.02,2279,-33224
서진오토모티브 *,2900.0,-8.23%,412781.0,1216.0,754894.0,122690,https://kr.tradingview.com/symbols/KRX-122690/,666억,2026.02.02,-3625,-16743
모베이스 *,6370.0,-8.35%,2130638.0,14192.0,1931176.0,101330,https://kr.tradingview.com/symbols/KRX-101330/,"1,474억",2026.02.02,0,-103185
휴림에이텍 *,833.0,-8.46%,5388702.0,4704.0,4884188.0,078590,https://kr.tradingview.com/symbols/KRX-078590/,669억,2026.02.02,-5000,-62840
화천기계,5700.0,-8.51%,1759825.0,10065.0,1622419.0,010660,https://kr.tradingview.com/symbols/KRX-010660/,"1,254억",2026.02.02,56,-122181
네오티스 *,12210.0,-9.08%,263156.0,3261.0,519942.0,085910,https://kr.tradingview.com/symbols/KRX-085910/,"1,701억",2026.02.02,-17324,-13954
한중엔시에스 *,46500.0,-9.71%,248354.0,11914.0,358803.0,107640,https://kr.tradingview.com/symbols/KRX-107640/,"4,215억",2026.02.02,-5573,-25428
삼현 *,60400.0,-9.85%,410676.0,25838.0,340713.0,437730,https://kr.tradingview.com/symbols/KRX-437730/,"19,151억",2026.02.02,-8425,-793
한국피아이엠 *,65000.0,-10.59%,117346.0,7917.0,125811.0,448900,https://kr.tradingview.com/symbols/KRX-448900/,"3,903억",2026.02.02,2476,-1688
